Title,Year,Franchise,,,https://en.wikipedia.org/wiki/List_of_films_featuring_extraterrestrials
Under the Mountain,2009,[400],,,
Under the Skin,2013,[72],,,
V/H/S,2012,V/H/S [401],,,
V/H/S/2,2013,V/H/S[402],,,
Valerian and the City of a Thousand Planets,2017,[403],,,
Vampirella,1996,[404],,,
The Vast of Night,2019,,,,
Venom,2018,Marvel - Sony's Spider-Man Universe,,,
Venom: Let There Be Carnage,2021,Marvel - Sony's Spider-Man Universe,,,
Village of the Damned,1960,...of the Damned[9],,,
Village of the Damned,1995,...of the Damned[405],,,
Virus,1999,[406],,,
Visit to a Small Planet,1960,[407],,,
The Visitor,1979,[408],,,
Voyage of the Rock Aliens,1984,[409],,,
Voyage to the Planet of Prehistoric Women,1968,[410],,,
Voyage to the Prehistoric Planet,1965,[411],,,
War of the Planets,1966,[412],,,
The War of the Worlds,1953,The War of the Worlds[50],,,
War of the Worlds,2005,The War of the Worlds[50],,,
War of the Worlds 2: The Next Wave,2008,The War of the Worlds[413],,,
War of the Worlds: Goliath,2012,The War of the Worlds,,,
War of the Worlds: The True Story,2012,The War of the Worlds[414],,,
Warlords of Atlantis,1978,[415],,,
Warning from Space,1956,[416],,,
The Watch,2012,[417],,,
Wavelength,1983,,,,
Welcome to the Space Show,2010,[418],,,
What on Earth!,1966,[419],,,
What Planet Are You From?,2000,[420],,,
When the Man in the Moon Seeks a Wife,1908,[421],,,
The Whisperer in Darkness,2011,[422][423],,,
Within the Rock,1996,[424],,,
Without Warning,1980,[425],,,
The Wizard of Mars,1965,[426],,,
The World's End,2013,[6],,,
The X from Outer Space,1967,[427],,,
The X-Files: Fight the Future,1998,X-Files[202],,,
The X-Files: I Want to Believe,2008,X-Files,,,
X-Men: Dark Phoenix,2019,Marvel - X-Men[428],,,
Xtro,1982,Xtro[429],,,
Xtro II: The Second Encounter,1991,Xtro[430],,,
Xtro 3: Watch the Skies,1995,Xtro[431],,,
Zack Snyder's Justice League,2021,DC Extended Universe,,,
Zarkorr! The Invader,1995,[432],,,
Zathura: A Space Adventure,2005,Jumanji[433],,,
Zenon: The Zequel,2001,[434],,,
Zeta One,1969,[374],,,
Zombies of the Stratosphere,1952,[435],,,
Zone Troopers,1985,[436],,,
"Zontar, the Thing from Venus",1966,[204],,,
